"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"145","RAT06","Methyl","2016-10-21",13,2700,"EEG_OR","1.012",10.2773145942763,8,2.20877267770949,11.12055512555
"146","RAT06","Methyl","2016-10-21",13,2800,"EEG_FL","1.012",9.505156435966,10,3.68530334218158,9.427187419205
"147","RAT06","Methyl","2016-10-21",13,2800,"EEG_PL","1.012",8.925643917376,10,3.74772990764981,7.231363238
"148","RAT06","Methyl","2016-10-21",13,2800,"EEG_PR","1.012",10.8824173041222,9,4.12858316486426,10.7085281622
"149","RAT06","Methyl","2016-10-21",13,2800,"EEG_OL","1.012",7.450136637631,10,3.42923651024672,6.070139437955
"150","RAT06","Methyl","2016-10-21",13,2800,"EEG_OR","1.012",12.372055315495,10,3.82589013053262,13.8100006479
"151","RAT06","Methyl","2016-10-21",13,2900,"EEG_FL","1.012",9.777287724678,10,2.32915655806145,9.41569684308
"152","RAT06","Methyl","2016-10-21",13,2900,"EEG_PL","1.012",9.19974268117,9,2.57155055523428,9.37757323046
"153","RAT06","Methyl","2016-10-21",13,2900,"EEG_PR","1.012",11.164803664625,10,2.25037424464088,12.34446088845
"154","RAT06","Methyl","2016-10-21",13,2900,"EEG_OL","1.012",7.32995278488889,9,2.269276010796,7.91680511473
"155","RAT06","Methyl","2016-10-21",13,2900,"EEG_OR","1.012",11.591778914092,10,2.37570463701602,11.5907369419
"156","RAT06","Methyl","2016-10-21",13,3000,"EEG_FL","1.012",10.8733457983633,9,3.9315398717656,11.8323573298
"157","RAT06","Methyl","2016-10-21",13,3000,"EEG_PL","1.012",10.5611894466756,9,2.74978288980119,11.8811558939
"158","RAT06","Methyl","2016-10-21",13,3000,"EEG_PR","1.012",12.3453509668322,9,3.12346908270601,12.8532185924
"159","RAT06","Methyl","2016-10-21",13,3000,"EEG_OL","1.012",9.709276550715,10,3.87435995182607,10.09835076547
"160","RAT06","Methyl","2016-10-21",13,3000,"EEG_OR","1.012",13.32543643404,9,4.20885277411522,13.5812318564
"161","RAT06","Methyl","2016-10-21",13,3100,"EEG_FL","3.2",9.25592560886,8,3.56473845703484,9.369896693555
"162","RAT06","Methyl","2016-10-21",13,3100,"EEG_PL","3.2",8.72048902756375,8,1.68686193187142,8.663316964265
"163","RAT06","Methyl","2016-10-21",13,3100,"EEG_PR","3.2",11.53314562726,8,3.92463850274226,11.17965680485
"164","RAT06","Methyl","2016-10-21",13,3100,"EEG_OL","3.2",7.92222156211111,9,1.88101507259934,7.91174018714
"165","RAT06","Methyl","2016-10-21",13,3100,"EEG_OR","3.2",12.1682351626667,9,2.59513562107184,11.1144823412
"166","RAT06","Methyl","2016-10-21",13,3200,"EEG_FL","3.2",8.308372668388,10,3.84867015961998,7.68849194692
"167","RAT06","Methyl","2016-10-21",13,3200,"EEG_PL","3.2",8.1561464064555,10,3.56959786777314,8.86711286319
"168","RAT06","Methyl","2016-10-21",13,3200,"EEG_PR","3.2",10.382566754595,10,2.75883381828953,10.56640684115
"169","RAT06","Methyl","2016-10-21",13,3200,"EEG_OL","3.2",6.322667037171,10,4.22052556931835,6.96797675981
"170","RAT06","Methyl","2016-10-21",13,3200,"EEG_OR","3.2",11.26050822944,10,3.92568294793959,11.72384793185
"171","RAT06","Methyl","2016-10-21",13,3300,"EEG_FL","3.2",9.282313260997,10,2.55900136140313,9.72766883304
"172","RAT06","Methyl","2016-10-21",13,3300,"EEG_PL","3.2",10.5815413746606,10,3.7666050723218,11.1304597397
"173","RAT06","Methyl","2016-10-21",13,3300,"EEG_PR","3.2",12.011849806514,10,2.16308939936664,12.09386557255
"174","RAT06","Methyl","2016-10-21",13,3300,"EEG_OL","3.2",8.842563827575,10,3.5589666108296,9.522654354485
"175","RAT06","Methyl","2016-10-21",13,3300,"EEG_OR","3.2",14.03454750537,10,1.87683060132239,13.71701845365
"176","RAT06","Methyl","2016-10-21",13,3400,"EEG_FL","3.2",9.049331664143,10,2.53530125692842,8.86803007305
"177","RAT06","Methyl","2016-10-21",13,3400,"EEG_PL","3.2",11.647735498081,10,1.73162010201522,11.23480329635
"178","RAT06","Methyl","2016-10-21",13,3400,"EEG_PR","3.2",10.265938779282,10,3.0455281851394,10.3462664279
"179","RAT06","Methyl","2016-10-21",13,3400,"EEG_OL","3.2",10.33499810301,10,2.2879910006892,10.8018766031
"180","RAT06","Methyl","2016-10-21",13,3400,"EEG_OR","3.2",14.534631397619,10,2.81616476011096,15.45207876345
"181","RAT06","Methyl","2016-10-21",13,3500,"EEG_FL","3.2",11.353807041881,10,2.87063554550031,10.79412125855
"182","RAT06","Methyl","2016-10-21",13,3500,"EEG_PL","3.2",10.600967770774,10,2.32780695658684,10.24813469826
"183","RAT06","Methyl","2016-10-21",13,3500,"EEG_PR","3.2",12.319565179218,10,3.39445030700746,12.27268693805
"184","RAT06","Methyl","2016-10-21",13,3500,"EEG_OL","3.2",9.425242482445,10,2.45205089758854,8.89062884968
"185","RAT06","Methyl","2016-10-21",13,3500,"EEG_OR","3.2",13.401015679065,10,3.74155375457162,14.5288288611
"186","RAT06","Methyl","2016-10-21",13,3600,"EEG_FL","3.2",9.970231427224,10,2.65055727965756,8.844560769945
"187","RAT06","Methyl","2016-10-21",13,3600,"EEG_PL","3.2",9.581874314684,10,3.27087320708637,9.091892148385
"188","RAT06","Methyl","2016-10-21",13,3600,"EEG_PR","3.2",11.490233751355,10,3.41376487006268,12.1065824813
"189","RAT06","Methyl","2016-10-21",13,3600,"EEG_OL","3.2",8.067323700666,10,3.54149052931729,7.74902503042
"190","RAT06","Methyl","2016-10-21",13,3600,"EEG_OR","3.2",11.747462615697,10,3.19898256722779,11.07820371595
"191","RAT06","Methyl","2016-10-21",13,3700,"EEG_FL","3.2",8.673549176708,10,2.07153808903231,9.1391884148
"192","RAT06","Methyl","2016-10-21",13,3700,"EEG_PL","3.2",8.670272543686,10,2.80678460927661,9.925682826105
"193","RAT06","Methyl","2016-10-21",13,3700,"EEG_PR","3.2",10.386982708563,10,2.50483851966027,10.2256426777
"194","RAT06","Methyl","2016-10-21",13,3700,"EEG_OL","3.2",7.679844131141,10,2.76548165656653,8.61176041596
"195","RAT06","Methyl","2016-10-21",13,3700,"EEG_OR","3.2",12.478205853745,10,2.22304503616782,12.75736887345
"196","RAT06","Methyl","2016-10-21",13,3800,"EEG_FL","3.2",10.6813979741178,10,4.83329998013727,11.27717608155
"197","RAT06","Methyl","2016-10-21",13,3800,"EEG_PL","3.2",11.252345975609,10,2.62459730820978,10.5027874296
"198","RAT06","Methyl","2016-10-21",13,3800,"EEG_PR","3.2",10.9354130124169,10,5.230274872636,11.60561724135
"199","RAT06","Methyl","2016-10-21",13,3800,"EEG_OL","3.2",9.048624050097,10,3.83586706378069,8.738598544775
"200","RAT06","Methyl","2016-10-21",13,3800,"EEG_OR","3.2",12.629499743105,10,3.64229966345462,12.36152259625
"201","RAT06","Methyl","2016-10-21",13,3900,"EEG_FL","3.2",9.195042935913,10,3.34621276156595,7.46569991957
"202","RAT06","Methyl","2016-10-21",13,3900,"EEG_PL","3.2",8.904147058734,10,3.88346379718034,9.92094880306
"203","RAT06","Methyl","2016-10-21",13,3900,"EEG_PR","3.2",10.843529540529,10,1.46911675193629,11.1991597136
"204","RAT06","Methyl","2016-10-21",13,3900,"EEG_OL","3.2",7.90146906636,10,3.76043453629982,8.62003558802
"205","RAT06","Methyl","2016-10-21",13,3900,"EEG_OR","3.2",11.069284030719,10,3.17135092663648,10.8739284231
"206","RAT06","Methyl","2016-10-21",14,100,"EEG_FL","baseline",9.91190505446555,9,3.20847508350442,9.34662012358
"207","RAT06","Methyl","2016-10-21",14,100,"EEG_FR","baseline",21.58380801745,4,2.30556341913599,20.96722951385
"208","RAT06","Methyl","2016-10-21",14,100,"EEG_PL","baseline",9.09107938960889,9,5.38782778887342,7.27484658505
