"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"92","RAT06","Morphine","2016-07-12",10,4800,"EEG_FR","0.1",11.126147825772,30,3.17334195166224,11.1323607348
"93","RAT06","Morphine","2016-07-12",10,4800,"EEG_PL","0.1",10.0454770281286,21,3.05799745456894,10.1399700266
"94","RAT06","Morphine","2016-07-12",10,4800,"EEG_PR","0.1",8.37940708875852,27,3.17793735915147,7.8078052722
"95","RAT06","Morphine","2016-07-12",10,4800,"EEG_OL","0.1",10.8769139673862,26,3.48401264195279,11.14079890305
"96","RAT06","Morphine","2016-07-12",10,4800,"EEG_OR","0.1",-15.15820786388,30,2.83889664344433,-14.7612338307
"97","RAT06","Morphine","2016-07-12",10,5100,"EEG_FL","0.1",12.0994747127696,25,3.03088460685038,11.6474072963
"98","RAT06","Morphine","2016-07-12",10,5100,"EEG_FR","0.1",11.7523085895162,29,4.01854045609676,12.2668097078
"99","RAT06","Morphine","2016-07-12",10,5100,"EEG_PL","0.1",12.1449604290029,24,3.07492766135909,11.69039592855
"100","RAT06","Morphine","2016-07-12",10,5100,"EEG_PR","0.1",10.232446921197,27,3.15205259877954,10.9787422562
"101","RAT06","Morphine","2016-07-12",10,5100,"EEG_OL","0.1",12.3068078182636,28,3.29950906365321,11.67296555985
"102","RAT06","Morphine","2016-07-12",10,5100,"EEG_OR","0.1",-14.693968133311,30,2.9199582605772,-14.19218735645
"103","RAT06","Morphine","2016-07-12",10,5400,"EEG_FL","0.1",10.571301425589,20,3.8577518219867,10.7954495132
"104","RAT06","Morphine","2016-07-12",10,5400,"EEG_FR","0.1",11.9450440899234,29,2.5948250806015,11.8743069534
"105","RAT06","Morphine","2016-07-12",10,5400,"EEG_PL","0.1",10.9127727222279,19,3.2883579757602,10.6067387848
"106","RAT06","Morphine","2016-07-12",10,5400,"EEG_PR","0.1",9.03982421084864,22,4.02989842579147,9.747723496895
"107","RAT06","Morphine","2016-07-12",10,5400,"EEG_OL","0.1",10.9178705384581,21,3.22428285490694,10.8459648856
"108","RAT06","Morphine","2016-07-12",10,5400,"EEG_OR","0.1",-14.1029262238873,30,3.56619219977065,-14.5093823795
"109","RAT06","Morphine","2016-07-12",10,5700,"EEG_FL","0.32",10.168066639305,30,4.0794140114863,10.39662127985
"110","RAT06","Morphine","2016-07-12",10,5700,"EEG_FR","0.32",11.2011544781653,30,3.37952955706785,11.903835956
"111","RAT06","Morphine","2016-07-12",10,5700,"EEG_PL","0.32",10.0953710218122,30,4.0968717851813,10.25256650715
"112","RAT06","Morphine","2016-07-12",10,5700,"EEG_PR","0.32",8.68022358697037,30,3.16225696673317,8.51964635427
"113","RAT06","Morphine","2016-07-12",10,5700,"EEG_OL","0.32",11.3736796946123,30,2.91060710318658,11.44536564485
"114","RAT06","Morphine","2016-07-12",10,5700,"EEG_OR","0.32",-13.987062646344,30,2.88313126228857,-13.90752466075
"115","RAT06","Morphine","2016-07-12",10,6000,"EEG_FL","0.32",10.8787520839776,29,4.28020411133109,10.8286845737
"116","RAT06","Morphine","2016-07-12",10,6000,"EEG_FR","0.32",11.4131719109469,29,3.73114811849784,10.4924912487
"117","RAT06","Morphine","2016-07-12",10,6000,"EEG_PL","0.32",10.9411965896048,29,4.28689824720049,10.7429902544
"118","RAT06","Morphine","2016-07-12",10,6000,"EEG_PR","0.32",9.64190386720233,30,4.03699437914977,9.54648982719
"119","RAT06","Morphine","2016-07-12",10,6000,"EEG_OL","0.32",12.7146533019023,30,4.38097448671773,12.2174983299
"120","RAT06","Morphine","2016-07-12",10,6000,"EEG_OR","0.32",-14.8644141396147,30,3.56137043634517,-14.36188105435
"121","RAT06","Morphine","2016-07-12",10,6300,"EEG_FL","0.32",11.869236593214,24,6.61210326216616,11.84637874745
"122","RAT06","Morphine","2016-07-12",10,6300,"EEG_FR","0.32",13.8106699031376,25,5.72979044334198,12.8637099993
"123","RAT06","Morphine","2016-07-12",10,6300,"EEG_PL","0.32",11.9943017171241,24,6.43731711570564,11.6776611165
